SBQQ__ConfiguredSKU__c,SBQQ__Number__c,SBQQ__OptionalSKU__c,SBQQ__Feature__c,SBQQ__Type__c
01tQy000007w83oIAA,20,01tQy000007w82qIAA,a0jQy000001sfC5IAI,Accessory
01tQy000007w83oIAA,10,01tQy000007w83eIAA,a0jQy000001sfC5IAI,Accessory
